	lon	lat
	23.429254	37.7433915
	23.4292835	37.7434142
	23.4293103	37.7434284
	23.4293318	37.7434608
	23.4293291	37.7434863
	23.4293479	37.7434948
	23.429372	37.7435054
	23.4293881	37.7435175
	23.4294203	37.7435287
	23.4294444	37.7435372
	23.4294686	37.7435541
	23.4294954	37.7435641
	23.4295383	37.7435775
	23.4295678	37.743586
	23.429592	37.743569
	23.4296161	37.7435457
	23.4296456	37.7435478
	23.4296536	37.7435705
	23.4296778	37.7435641
	23.4297368	37.7435408
	23.4297904	37.7435096
	23.4298495	37.7434757
	23.4299299	37.7434029
	23.430005	37.7433505
	23.4300587	37.7433102
	23.4300855	37.7432911
	23.4301204	37.7432742
	23.4301472	37.7432742
	23.430166	37.7432269
	23.4301928	37.7431851
	23.4302223	37.743149
	23.4302598	37.7431087
	23.4302545	37.7430869
	23.4302545	37.743043
	23.4302813	37.7429957
	23.4303188	37.7429412
	23.4303564	37.7428606
	23.4303939	37.7427545
	23.4304288	37.7426209
	23.4304422	37.7424936
	23.4304503	37.7423
	23.4304476	37.7421946
	23.4304449	37.7421027
	23.4304315	37.7420419
	23.430402	37.7419691
	23.4303618	37.7419246
	23.4303135	37.7418991
	23.4302625	37.7418786
	23.4302357	37.7418906
	23.4302115	37.7418892
	23.4301908	37.7418903
	23.4301392	37.7417599
	23.4301285	37.7417332
	23.430124	37.7415339
	23.4300629	37.7412037
	23.4301031	37.7409826
	23.4300934	37.7409608
	23.4300686	37.7409214
	23.4300411	37.7408711
	23.4300202	37.7408164
	23.4300009	37.7407757
	23.4299826	37.7407167
	23.4299424	37.7407029
	23.4299311	37.7406882
	23.4299203	37.7406425
	23.4298948	37.7406069
	23.429842	37.7405301
	23.4298366	37.7405057
	23.429844	37.7404892
	23.429856	37.7404766
	23.4298741	37.7404602
	23.4299124	37.7404358
	23.4299539	37.7404194
	23.4300619	37.740369
	23.430135	37.7403234
	23.4301846	37.7402782
	23.4302517	37.740221
	23.430287	37.7401937
	23.43045	37.7400677
	23.4304508	37.7400417
	23.430454	37.740013
	23.4304581	37.7399917
	23.4304676	37.7399713
	23.4304944	37.7399453
	23.4303382	37.7398424
	23.4303213	37.7398379
	23.4303067	37.739837
	23.4302926	37.7398403
	23.4302785	37.7398451
	23.4302664	37.7398483
	23.4302589	37.7398396
	23.4302604	37.7398308
	23.4302738	37.7398228
	23.4302926	37.7398159
	23.4303154	37.7398117
	23.4303308	37.7398117
	23.4303476	37.7398207
	23.4305185	37.7399395
	23.430534	37.7399352
	23.4305534	37.7399257
	23.4305615	37.7399182
	23.4305843	37.7399022
	23.4306305	37.7398785
	23.4306574	37.7398498
	23.4306728	37.7398387
	23.4307076	37.7397994
	23.4307573	37.7397608
	23.4309166	37.7395729
	23.4312742	37.7391748
	23.4315986	37.7386302
	23.4316771	37.7383591
	23.4317928	37.7381483
	23.4318123	37.7379514
	23.431795	37.7376159
	23.4318643	37.7370868
	23.4319381	37.7369594
	23.4319579	37.7366232
	23.4319343	37.7362125
	23.4317938	37.7361786
	23.4317654	37.7360326
	23.4316058	37.736026
	23.4316358	37.7357289
	23.4317514	37.7356226
	23.4318166	37.7354879
	23.4317925	37.7349304
	23.4317144	37.7348596
	23.431602	37.7347991
	23.4315535	37.7347141
	23.4316192	37.7346504
	23.4316369	37.73457
	23.4315883	37.734447
	23.4317184	37.7343672
	23.4317769	37.734261
	23.4316626	37.7342404
	23.4316909	37.7341978
	23.4320719	37.7339723
	23.4324728	37.7338213
	23.4329265	37.7335824
	23.433115	37.7333622
	23.4333733	37.7330574
	23.433478	37.7328773
	23.4335104	37.7325763
	23.4333767	37.7323692
	23.4330926	37.7322925
	23.4330375	37.7321889
	23.4330721	37.7319146
	23.4331371	37.7315983
	23.4331653	37.7315727
	23.4331892	37.7315614
	23.4332001	37.7315701
	23.4331803	37.731762
	23.4331643	37.7319157
