	lon	lat
	23.106768	37.9959627
	23.1066861	37.995561
	23.1067117	37.9952007
	23.1108364	37.9883463
	23.1110969	37.9879968
	23.112674	37.9862873
	23.1149206	37.9845062
	23.1164002	37.9838278
	23.1170204	37.9836078
	23.1188399	37.9829629
	23.1194828	37.982783
	23.1231581	37.9818956
	23.1251845	37.9816584
	23.1279657	37.9810031
	23.1287147	37.9807878
	23.1320454	37.9796363
	23.1328591	37.9793133
	23.134372	37.9783691
	23.1377245	37.9761496
	23.1383091	37.9756582
	23.1388143	37.975369
	23.1396191	37.9751496
	23.1470221	37.9733469
	23.1474667	37.9732735
	23.149896	37.9730342
	23.1522265	37.9729429
	23.1551276	37.9730268
	23.1579681	37.9730788
	23.1610885	37.9729433
	23.1622055	37.972771
	23.1635447	37.9723975
	23.1651489	37.9718276
	23.1696909	37.9698139
	23.1719152	37.96873
	23.1724083	37.9682288
	23.1726426	37.9678609
	23.1771451	37.9597044
	23.1775193	37.9584633
	23.177189	37.9544206
	23.1789667	37.9515125
	23.1804792	37.9521138
	23.1816432	37.952396
	23.1828331	37.9521235
	23.1834361	37.9519273
	23.1839699	37.9518533
	23.1844741	37.9517941
	23.184685	37.9517813
	23.1848059	37.9518867
	23.1849911	37.951969
	23.1860741	37.9525298
	23.1873446	37.9532014
	23.1882077	37.9535457
	23.1883703	37.9535791
	23.1885525	37.9535587
	23.1885834	37.9535259
	23.1886027	37.9534912
	23.1886605	37.9534642
	23.1887284	37.9534709
	23.1887744	37.9535066
	23.1888573	37.9535722
	23.1890186	37.9536437
	23.1894528	37.9537968
	23.1904308	37.954159
	23.1913901	37.9544197
	23.1919125	37.9545781
	23.1922765	37.9546455
	23.1923662	37.9546521
	23.1924843	37.9546608
	23.1925833	37.9546436
	23.1926708	37.9545714
	23.1929992	37.9544597
	23.1931492	37.9544202
	23.1932557	37.9544183
	23.1932833	37.9543354
	23.1940945	37.9544985
	23.1945134	37.954532
	23.1947718	37.9545296
	23.1949817	37.9544892
	23.1950367	37.9544796
	23.1954182	37.9543314
	23.1956932	37.9542903
	23.1958376	37.9542674
	23.1959687	37.9542301
	23.1964438	37.9540778
	23.19677	37.9540908
	23.1969536	37.9540442
	23.1974018	37.954173
	23.1984125	37.9546509
	23.1988764	37.9549228
	23.1992904	37.9551904
	23.1997002	37.955437
	23.2001209	37.9556467
	23.2005213	37.9558302
	23.2009105	37.955947
	23.201333	37.9560025
	23.2016	37.9561471
	23.2018804	37.9563622
	23.2023981	37.9569095
	23.2028566	37.9576047
	23.203182	37.9579744
	23.2035962	37.9583441
	23.2043248	37.9590071
	23.2053183	37.9598038
	23.2061248	37.9603743
	23.2066559	37.9607776
	23.2082616	37.9618778
	23.2092438	37.9625605
	23.2106358	37.9634707
	23.2119408	37.9643143
	23.2127789	37.9648239
	23.2166085	37.9670023
	23.2186581	37.9680705
	23.2206603	37.9690635
	23.2214244	37.9694268
	23.2226798	37.9699931
	23.2242174	37.9706411
	23.2250182	37.970938
	23.2258238	37.9712507
	23.2274776	37.9718273
	23.2293067	37.9723507
	23.2302265	37.9724771
	23.2306214	37.972491
	23.2308243	37.9724848
	23.2310025	37.972408
	23.2314697	37.9723373
	23.2319399	37.9722174
	23.2323886	37.972116
	23.2328496	37.9721097
	23.2341482	37.9725755
	23.2349246	37.9729974
	23.2357927	37.9734133
	23.2364608	37.9737199
	23.2369549	37.9739045
	23.2377018	37.9742415
	23.238077	37.9743924
	23.2384232	37.9744853
	23.2391128	37.9747398
	23.2399876	37.9750695
	23.2401557	37.975173
	23.2408082	37.9753857
	23.2411958	37.9754769
	23.2415378	37.9756102
	23.2421984	37.9757828
	23.2429642	37.9759717
	23.2433364	37.9760502
	23.2436532	37.9760773
	23.2440346	37.9760866
	23.2447637	37.9760773
	23.2450215	37.9760539
	23.2451975	37.9759901
	23.2454349	37.9758733
	23.2456388	37.975812
	23.2464785	37.9757416
	23.2478502	37.9760474
	23.2487009	37.9762143
	23.2489456	37.9761592
	23.2506479	37.976333
	23.2510726	37.9762276
	23.2521851	37.9764216
	23.2542645	37.9764614
	23.2547572	37.9763345
	23.2557255	37.9763832
	23.2567364	37.9765864
	23.2571997	37.9764525
	23.2584173	37.976655
	23.2587603	37.9765757
	23.2593257	37.9765767
	23.2594652	37.9765116
	23.2608173	37.9765574
	23.2612479	37.9764674
	23.2625175	37.976451
	23.2629674	37.9766077
	23.2635417	37.9768157
	23.2654475	37.9772352
	23.2696951	37.9777864
	23.27154	37.9779774
	23.2742968	37.9780329
	23.2790301	37.9776243
	23.2797453	37.9773029
	23.2801312	37.9769581
	23.2803383	37.9768359
	23.2804252	37.9765407
	23.2810249	37.9762389
	23.2812001	37.9759259
	23.2813443	37.9759117
	23.2814602	37.9757525
	23.2817793	37.9755929
	23.2819751	37.975579
	23.2821744	37.9755804
	23.2823737	37.9755089
	23.2825381	37.975461
	23.2826346	37.9754714
	23.2826306	37.9753854
	23.2827883	37.975445
	23.2828782	37.9753056
	23.2829534	37.9753229
	23.2829791	37.9753955
	23.2832651	37.9754005
	23.283261	37.9753099
	23.2833513	37.9752808
	23.2833841	37.9753746
	23.2834733	37.9753684
	23.2850494	37.9752582
	23.2866983	37.9750448
	23.2871946	37.9748928
	23.287215	37.9748778
	23.2876486	37.9745595
	23.288154	37.9741713
	23.2885974	37.9738614
	23.2896187	37.9736027
	23.2904779	37.97353
	23.2907672	37.9733764
	23.291067	37.9730399
	23.2908	37.9729884
	23.290818	37.9728947
	23.2910842	37.9727434
	23.2914702	37.9727244
	23.2918522	37.9726348
	23.2918764	37.9725519
	23.2922706	37.972605
	23.2925347	37.9722607
	23.2929127	37.9720926
	23.2930021	37.9720246
	23.2929817	37.9720034
	23.2930102	37.9719592
	23.2930803	37.971982
	23.2932155	37.9719341
	23.2932859	37.9719807
	23.2932845	37.9720295
	23.2934366	37.9720385
	23.293483	37.9719963
	23.293627	37.9720053
	23.2936897	37.971931
	23.2937683	37.9719706
	23.2938875	37.9719911
	23.2939634	37.9719678
	23.294023	37.9719926
	23.2940731	37.9720467
	23.2942283	37.9719808
	23.2943672	37.971979
	23.2946584	37.9720239
	23.2952424	37.971979
	23.2954236	37.9718763
	23.295412	37.9717928
	23.2957302	37.9717092
	23.2959227	37.9717123
	23.2961124	37.971778
	23.2962723	37.9717788
	23.2964404	37.9717347
	23.2964621	37.9717699
	23.2970123	37.9716897
	23.2971299	37.9717222
	23.2973694	37.971729
	23.2978078	37.9718131
	23.2979041	37.9717377
	23.2979095	37.9716576
	23.2979923	37.9717056
	23.2983588	37.97172
	23.2988958	37.9715445
	23.2987984	37.9714568
	23.2988961	37.9714193
	23.2989612	37.9714519
	23.2990832	37.9713816
	23.2990832	37.9713113
	23.2993368	37.9712791
	23.2995042	37.9713623
	23.2995758	37.971327
	23.2996278	37.9713895
	23.299605	37.9714528
	23.2998253	37.9714748
	23.3000904	37.9714071
