	lon	lat
	23.4052091	37.9299097
	23.4052139	37.9298758
	23.4055362	37.9298151
	23.4057988	37.9296805
	23.4069816	37.9277029
	23.4075404	37.9272352
	23.4077268	37.926391
	23.407019	37.9262646
	23.4069303	37.9261776
	23.4067306	37.9261378
	23.4067067	37.9260717
	23.4067528	37.9258555
	23.4063537	37.9256698
	23.4063528	37.9255388
	23.4064974	37.9251637
	23.4065908	37.9246945
	23.4063599	37.9245935
	23.4060095	37.9245261
	23.4056979	37.9244
	23.4055313	37.9242469
	23.4055744	37.9240897
	23.4063469	37.9231376
	23.4063331	37.9228028
	23.4077746	37.9219045
	23.4082514	37.9216371
	23.4090011	37.9214035
	23.4101537	37.9212766
	23.410333	37.9211443
	23.4114507	37.9205948
	23.4115377	37.9207585
	23.411859	37.9205683
	23.4120823	37.9204602
	23.4121008	37.9203589
	23.4121292	37.9202841
	23.412172	37.9201027
	23.4120996	37.9199747
	23.4119163	37.9200284
	23.4117971	37.9199608
	23.4116981	37.9197212
	23.4118209	37.9196735
	23.4114342	37.9192714
	23.4112299	37.9192421
	23.4110939	37.9192533
	23.4110784	37.9191697
	23.4111311	37.9189752
	23.4111151	37.9188399
	23.4105531	37.9187922
	23.4103759	37.9187168
	23.4090638	37.9176335
	23.4090394	37.9175574
	23.4093051	37.9171516
	23.4095293	37.9167102
	23.4087894	37.9166688
	23.4075593	37.9167053
	23.4072689	37.9166656
	23.4069784	37.9165115
	23.4069491	37.9163979
	23.4071526	37.9157198
	23.4072623	37.9150284
	23.4068249	37.9145286
	23.4065827	37.9137765
	23.4066049	37.913496
	23.406344	37.9136684
	23.4061513	37.9138677
	23.4059501	37.9141007
	23.4058622	37.9142105
	23.4058768	37.9142732
	23.4057177	37.9143219
	23.4055031	37.9145222
	23.4051422	37.9147344
	23.4048671	37.9147413
	23.4044768	37.9146677
	23.4044492	37.9145898
	23.4045445	37.9140585
	23.4048685	37.913617
	23.4046663	37.9126042
	23.4033905	37.9114454
	23.4041539	37.9110573
	23.4048043	37.9105131
	23.4048993	37.9102198
	23.4047601	37.9099261
	23.4039503	37.909936
	23.4022486	37.9081872
	23.4023715	37.9076726
	23.4029304	37.9070991
	23.4034428	37.9068706
	23.4042094	37.9069647
	23.4041953	37.9065187
	23.4050879	37.9058374
	23.4054964	37.9057822
	23.4056309	37.9058796
	23.4061927	37.9056181
	23.4062137	37.9053923
	23.4068012	37.9052143
	23.4077628	37.9053515
	23.4081457	37.9050742
	23.4084893	37.9044551
	23.4085192	37.9043715
	23.4087689	37.9036753
	23.4088836	37.9029154
	23.4088652	37.9012452
	23.4087226	37.8998657
	23.40856	37.8994686
	23.408487	37.899267
	23.4083004	37.8989551
	23.4079456	37.8987518
	23.4076054	37.8986018
	23.4073284	37.8985864
	23.407078	37.8986287
	23.4068549	37.8986467
	23.4066027	37.8986781
	23.4064563	37.8986575
	23.4063462	37.8986565
	23.4063127	37.8987112
	23.4063581	37.8988279
	23.4064781	37.8991475
	23.4068272	37.8993273
	23.4067468	37.8993787
	23.4064733	37.8992814
	23.4063515	37.899192
	23.4061988	37.8988726
	23.4061632	37.8987471
	23.4060383	37.8987116
	23.4058699	37.898615
	23.4057262	37.8986554
	23.4055868	37.8986671
	23.4054705	37.8987225
	23.4053518	37.8987885
	23.4049511	37.8988135
	23.4046478	37.8988015
	23.4043107	37.8987279
	23.4040732	37.8986012
	23.4038099	37.8984826
	23.4036988	37.8979024
	23.4036779	37.8976117
	23.403666	37.8972122
	23.4035294	37.8968348
	23.4036536	37.8967579
	23.4035957	37.8965696
	23.4037133	37.8963256
	23.4038898	37.8958602
	23.4036711	37.8958289
	23.4034228	37.8958948
	23.4031913	37.8958704
	23.4025165	37.8958989
	23.4019972	37.8958796
	23.4015775	37.8955759
	23.4015001	37.8951872
	23.4015582	37.8949153
	23.4017789	37.8949482
	23.4018099	37.8947952
	23.4019829	37.8945891
	23.4022468	37.8946944
	23.4025355	37.8946161
	23.4025533	37.8945516
	23.4025228	37.8944812
	23.4025748	37.894375
	23.4026676	37.8944201
	23.4027797	37.8941403
	23.4029296	37.8939923
	23.4031441	37.8938824
	23.4033631	37.8938941
	23.4034924	37.8939067
	23.4036363	37.8937432
	23.4037701	37.8936602
	23.4036713	37.8934836
	23.4037559	37.8933533
	23.404028	37.8932273
	23.404105	37.8932329
	23.4043581	37.8928438
	23.4047061	37.892627
	23.4048971	37.8922036
	23.4050857	37.892772
	23.4058099	37.8927713
	23.4062761	37.8924761
	23.4062917	37.8923507
	23.4069758	37.8920567
	23.407394	37.8920755
	23.407635	37.8926978
	23.4079795	37.8929447
	23.4085382	37.8928107
	23.4086485	37.8926992
	23.4088607	37.8926752
	23.4089761	37.8923778
	23.4094424	37.8920313
	23.4099736	37.8920761
	23.4103668	37.8925812
	23.4106198	37.8929683
	23.4109948	37.8931131
	23.411322	37.8933017
	23.4118118	37.8933197
	23.4123868	37.893138
	23.4128008	37.8928959
	23.4126573	37.8924218
	23.4127456	37.8922054
	23.4132203	37.8917253
	23.413523	37.8911346
	23.41421	37.8912951
	23.4147724	37.8911671
	23.4152509	37.8910839
	23.4154458	37.8912744
	23.4156641	37.8912297
	23.4158538	37.8913632
	23.4160413	37.8910771
	23.4167471	37.8909849
	23.4167537	37.8908658
	23.4174004	37.8905844
	23.4178612	37.8905248
	23.419647	37.8908825
	23.4204686	37.8913264
	23.4208871	37.8916265
	23.421531	37.8916849
	23.4223172	37.8913132
	23.4228576	37.8908779
	23.4233513	37.8902416
	23.4233041	37.8901427
	23.4235221	37.8898009
	23.4235305	37.8895569
	23.4233776	37.8893809
	23.4237039	37.8893532
	23.4230898	37.8889358
	23.4226851	37.8889252
	23.4221734	37.8886134
	23.4221309	37.8884511
	23.421557	37.8879964
	23.4215512	37.8875627
	23.4218706	37.8874531
	23.4220472	37.8876497
	23.4225825	37.8878619
	23.4231595	37.8881215
	23.423481	37.8879932
	23.4238059	37.8886235
	23.4241208	37.8885896
	23.4245438	37.8887108
	23.4256699	37.8884956
	23.4259137	37.8886349
	23.4259913	37.8884486
	23.4263176	37.888433
	23.4263161	37.888621
	23.4266882	37.8890496
	23.4271081	37.8891274
	23.4272136	37.8890578
	23.427437	37.8891705
	23.4279356	37.8890505
	23.4286424	37.8885938
	23.4287921	37.8884059
	23.428527	37.8880813
	23.4285016	37.8879039
	23.4286909	37.8879087
	23.4289784	37.8877427
	23.4294123	37.8871305
	23.4296168	37.8868726
	23.4297691	37.8866704
	23.4297739	37.886518
	23.4295977	37.8863358
	23.4293928	37.8862195
	23.4295031	37.8860143
	23.4294717	37.885843
	23.429857	37.8854843
	23.4304191	37.885179
	23.4305823	37.8851063
	23.4308235	37.8851315
	23.4309158	37.8852197
	23.4309768	37.885404
	23.4309555	37.8856074
	23.4308668	37.8857313
	23.4309075	37.8859205
	23.4311059	37.8860451
	23.431418	37.8860311
	23.4315615	37.8861201
	23.4318406	37.8861246
	23.4318941	37.8859905
	23.4321548	37.8858366
	23.4323256	37.8858967
	23.4328121	37.8855771
	23.433368	37.8853282
	23.433586	37.8851976
	23.4339929	37.8851283
	23.4342734	37.8852085
	23.4345881	37.8850489
	23.4347378	37.8850266
	23.434817	37.8850873
	23.4347512	37.8851218
	23.434651	37.8851228
	23.4345101	37.8853094
	23.4347984	37.8853576
	23.4350718	37.8853365
	23.4364578	37.8844541
	23.4375029	37.8833435
	23.4378923	37.8832462
